filename	ATTRIBUTE_SampleType	ATTRIBUTE_TypesOfPlants	ATTRIBUTE_ExerciceFrequency	ATTRIBUTE_FermentedPlantFrequency	ATTRIBUTE_Probiotic_frequence
38126_P1_GE1_01_146.mzXML	SAMPLE	6_to_10	Regularly	Never	Never
38129_P1_RD4_01_80.mzXML	SAMPLE	21_to_30	Regularly	Never	Never
38131_P5_RA4_01_538.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Regularly
38134_P1_RD3_01_79.mzXML	SAMPLE	6_to_10	Rarely	Occasionally	Rarely
38136_P1_RE12_01_101.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Occasionally
38141_P1_RB8_01_58.mzXML	SAMPLE	21_to_30	Daily	Occasionally	Daily
38146_P2_RC12_01_197.mzXML	SAMPLE	6_to_10	Daily	Occasionally	Never
38148_P2_RH12_01_277.mzXML	SAMPLE	11_to_20	Daily	Never	Never
38149_P6_RF1_01_691.mzXML	SAMPLE	11_to_20	Rarely	Never	Regularly
38153_P5_RB6_01_557.mzXML	SAMPLE	6_to_10	Occasionally	Never	Occasionally
38161_P2_RB12_01_182.mzXML	SAMPLE	21_to_30	Occasionally	Never	Regularly
38166_P3_RA9_01_296.mzXML	SAMPLE	6_to_10	Rarely	Never	Never
38183_P6_RA3_01_675.mzXML	SAMPLE	21_to_30	Regularly	Never	Never
38189_P5_RC6_01_574.mzXML	SAMPLE	21_to_30	Daily	Occasionally	Regularly
38190_P2_RA9_01_164.mzXML	SAMPLE	21_to_30	Regularly	Occasionally	Daily
38191_P5_RC4_01_572.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Daily
38225_P6_RF3_01_693.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Occasionally
38240_P1_RF2_01_104.mzXML	SAMPLE	6_to_10	Occasionally	Never	Daily
38245_P3_RG8_01_388.mzXML	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Never
38246_P3_RD9_01_344.mzXML	SAMPLE	21_to_30	Regularly	Never	Never
38253_P5_RE4_01_605.mzXML	SAMPLE	6_to_10	Rarely	Rarely (less than once/week)	Regularly
38255_P5_RB3_01_554.mzXML	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Never
38272_P1_RC12_01_75.mzXML	SAMPLE	11_to_20	Rarely	Never	Rarely
38311_P1_RF5_01_107.mzXML	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Regularly
38333_P1_RF7_01_109.mzXML	SAMPLE	6_to_10	Regularly	Never	Regularly
38334_P1_RF1_01_103.mzXML	SAMPLE	6_to_10	Regularly	Never	Regularly
38360_P5_RH5_01_654.mzXML	SAMPLE	21_to_30	Regularly	Never	Daily
38378_P2_RE12_01_228.mzXML	SAMPLE	Less_than_5	Never	Never	Never
38393_P5_RF6_01_623.mzXML	SAMPLE	11_to_20	Rarely	Regularly	Never
38435_P3_RB7_01_312.mzXML	SAMPLE		Occasionally	Daily	Occasionally
38454_P5_RF7_01_626.mzXML	SAMPLE	More_than_30	Regularly	Regularly	Daily
39808_P3_RH8_01_402.mzXML	SAMPLE		Occasionally	Daily	Daily
39828_P2_RF9_01_244.mzXML	SAMPLE	21_to_30	Daily	Never	Never
39837_P2_RC11_01_196.mzXML	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Regularly
39878_P5_RC8_01_578.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Daily
39882_P5_RF2_01_619.mzXML	SAMPLE	More_than_30	Daily	Regularly	Daily
39905_P3_RB11_01_316.mzXML	SAMPLE	11_to_20	Rarely	Occasionally	Regularly
39916_P3_RC8_01_328.mzXML	SAMPLE	Less_than_5	Regularly	Rarely (less than once/week)	Never
39962_P5_RA8_01_544.mzXML	SAMPLE		Regularly	Never	Daily
39990_P2_RF7_01_240.mzXML	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Never
40008_P5_RC7_01_577.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Regularly
40027_P2_RC7_01_192.mzXML	SAMPLE	Less_than_5	Regularly	Never	Rarely
40073_P5_RE9_01_612.mzXML	SAMPLE	More_than_30		Rarely (less than once/week)	Occasionally
40095_P3_RB2_01_306.mzXML	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Never
40107_P3_RD8_01_343.mzXML	SAMPLE	21_to_30	Occasionally	Daily	Daily
40110_P5_RE8_01_611.mzXML	SAMPLE	6_to_10	Daily	Rarely (less than once/week)	Daily
40111_P3_RA2_01_288.mzXML	SAMPLE	6_to_10	Daily	Rarely (less than once/week)	Daily
40153_P3_RC1_01_320.mzXML	SAMPLE	21_to_30	Never	Never	Never
40168_P3_RF11_01_376.mzXML	SAMPLE	21_to_30	Regularly	Occasionally	Regularly
4025_P4_RD7_01_465.mzXML	SAMPLE	21_to_30	Regularly		
4026_P4_RB8_01_436.mzXML	SAMPLE	21_to_30	Regularly		
40315_P1_RG7_01_122.mzXML	SAMPLE	More_than_30	Daily	Occasionally	Never
40318_P1_RE7_01_96.mzXML	SAMPLE	6_to_10	Regularly	Regularly	Regularly
40350_P2_RE9_01_225.mzXML	SAMPLE	11_to_20	Daily	Never	Never
40357_P2_RF5_01_237.mzXML	SAMPLE	21_to_30	Occasionally	Occasionally	Never
40381_P1_RF12_01_114.mzXML	SAMPLE	11_to_20	Regularly	Never	Never
40407_P1_RB3_01_53.mzXML	SAMPLE	11_to_20	Regularly	Never	Rarely
40410_P3_RG2_01_381.mzXML	SAMPLE	11_to_20	Regularly	Never	Never
4077_P4_RE8_01_481.mzXML	SAMPLE	More_than_30	Rarely		
41258_P1_RH1_01_129.mzXML	SAMPLE	6_to_10	Regularly	Rarely (less than once/week)	Rarely
41311_P5_RD8_01_595.mzXML	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Never
41312_P5_RH4_01_653.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Regularly
41323_P1_RG12_01_127.mzXML	SAMPLE	More_than_30	Regularly	Daily	Rarely
41341_P2_RE8_01_224.mzXML	SAMPLE	More_than_30	Occasionally	Rarely (less than once/week)	Never
4142_P4_RA5_01_416.mzXML	SAMPLE	6_to_10	Occasionally		
41526_P5_RD7_01_594.mzXML	SAMPLE	11_to_20	Occasionally	Rarely (less than once/week)	Never
41528_P1_RG1_01_116.mzXML	SAMPLE	6_to_10	Daily	Never	Never
41533_P5_RE7_01_610.mzXML	SAMPLE	21_to_30	Daily	Regularly	Never
41534_P6_RB1_01_677.mzXML	SAMPLE	More_than_30	Occasionally	Occasionally	Never
41539_P2_RF10_01_245.mzXML	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Occasionally
41637_P5_RD10_01_597.mzXML	SAMPLE	6_to_10	Regularly	Daily	Regularly
41652_P5_RH8_01_657.mzXML	SAMPLE	11_to_20	Daily	Never	Never
41673_P5_RF12_01_664.mzXML	SAMPLE	11_to_20	Rarely	Never	Daily
41679_P6_RD3_01_687.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Rarely
41698_P3_RC9_01_329.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Rarely
41700_P6_RC1_01_680.mzXML	SAMPLE	21_to_30	Regularly	Daily	Regularly
41712_P6_RH2_01_698.mzXML	SAMPLE	6_to_10	Regularly	Never	Daily
41724_P1_RF3_01_105.mzXML	SAMPLE	11_to_20	Regularly	Never	Rarely
41744_P6_RE1_01_688.mzXML	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Never
41752_P5_RB10_01_563.mzXML	SAMPLE	11_to_20	Occasionally	Never	Never
41758_P6_RH1_01_697.mzXML	SAMPLE	More_than_30	Daily	Occasionally	Regularly
41779_P3_RC10_01_330.mzXML	SAMPLE	6_to_10	Occasionally	Never	Rarely
41783_P6_RC2_01_681.mzXML	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Rarely
4192_P4_RF3_01_491.mzXML	SAMPLE	6_to_10	Regularly		
41935_P1_RG11_01_126.mzXML	SAMPLE	More_than_30	Occasionally	Rarely (less than once/week)	Never
41938_P5_RB7_01_560.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Never
42014_P2_RG12_01_262.mzXML	SAMPLE	11_to_20	Rarely	Never	Never
42021_P5_RB5_01_556.mzXML	SAMPLE	6_to_10	Occasionally	Never	Never
42026_P2_RA11_01_166.mzXML	SAMPLE	21_to_30	Daily	Rarely (less than once/week)	Occasionally
42029_P2_RG6_01_255.mzXML	SAMPLE	11_to_20	Regularly	Occasionally	Occasionally
42606_P6_RG3_01_696.mzXML	SAMPLE	21_to_30	Regularly	Regularly	Daily
42674_P5_RE12_01_663.mzXML	SAMPLE	11_to_20	Regularly	Never	Never
42689_P5_RG8_01_643.mzXML	SAMPLE	6_to_10	Rarely	Rarely (less than once/week)	Never
42738_P5_RH6_01_655.mzXML	SAMPLE	11_to_20	Daily	Occasionally	Never
42739_P3_RH1_01_395.mzXML	SAMPLE	More_than_30	Regularly	Occasionally	Regularly
42744_P1_RH5_01_133.mzXML	SAMPLE	Less_than_5	Rarely	Daily	Daily
43014_wood_P5_RA9_01_545.mzXML	SAMPLE	Less_than_5	Daily	Never	Rarely
43076_P3_RB9_01_314.mzXML	SAMPLE	21_to_30	Regularly	Occasionally	Regularly
43085_P4_RE3_01_475.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Never
43089_P2_RG8_01_258.mzXML	SAMPLE	21_to_30	Regularly	Regularly	Never
43098_P2_RB11_01_181.mzXML	SAMPLE	11_to_20	Occasionally	Rarely (less than once/week)	Regularly
43099_P3_RE2_01_351.mzXML	SAMPLE	11_to_20	Daily	Occasionally	Regularly
43133_P3_RF10_01_375.mzXML	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Daily
43160_P3_RE11_01_361.mzXML	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Never
43227_P5_RG12_01_647.mzXML	SAMPLE	21_to_30	Regularly	Never	Never
44384_wood_P6_RA2_01_674.mzXML	SAMPLE	Less_than_5	Rarely	Never	Daily
44535_P4_RA1_01_412.mzXML	SAMPLE	Less_than_5	Regularly	Rarely (less than once/week)	Rarely
44536_P3_RD10_01_345.mzXML	SAMPLE	11_to_20	Occasionally	Occasionally	Occasionally
44557_P5_RC9_01_579.mzXML	SAMPLE	6_to_10	Daily	Rarely (less than once/week)	Never
44558_P5_RH7_01_656.mzXML	SAMPLE	11_to_20	Daily	Occasionally	Never
45017_P2_RA8_01_163.mzXML	SAMPLE	6_to_10	Regularly	Rarely (less than once/week)	Daily
45020_P2_RC8_01_193.mzXML	SAMPLE	11_to_20	Regularly	Never	Never
46072_P2_RG10_01_260.mzXML	SAMPLE	11_to_20	Regularly	Occasionally	Regularly
46077_P3_RE10_01_360.mzXML	SAMPLE	11_to_20	Occasionally	Occasionally	Regularly
46084_P2_RG11_01_261.mzXML	SAMPLE	Less_than_5	Occasionally	Never	Never
46095_P2_RB9_01_179.mzXML	SAMPLE		Regularly	Occasionally	Daily
46178_P2_RA7_01_162.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Never
4618_P4_RA2_01_413.mzXML	SAMPLE	11_to_20	Occasionally		
46198_P2_RB10_01_180.mzXML	SAMPLE	Less_than_5	Daily	Regularly	Daily
46216_P2_RH7_01_272.mzXML	SAMPLE	6_to_10	Regularly	Never	Never
46217_P2_RA10_01_165.mzXML	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Rarely
46219_P5_RA10_01_546.mzXML	SAMPLE	Less_than_5	Regularly	Rarely (less than once/week)	Never
46251_P6_RF2_01_692.mzXML	SAMPLE	6_to_10	Regularly	Rarely (less than once/week)	Rarely
46273_P5_RA12_01_660.mzXML	SAMPLE	11_to_20	Daily	Never	Occasionally
47428_P5_RF8_01_627.mzXML	SAMPLE	Less_than_5	Rarely	Never	Never
4881_P4_RH1_01_519.mzXML	SAMPLE	21_to_30	Occasionally		
49025_P6_RA4_01_676.mzXML	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Never
5648_P5_RD1_01_585.mzXML	SAMPLE	11_to_20	Regularly		
5732_P2_RA2_01_156.mzXML	SAMPLE	More_than_30	Rarely	Never	Never
5799_P4_RG1_01_504.mzXML	SAMPLE	11_to_20	Daily		
5804_P4_RD12_01_470.mzXML	SAMPLE	6_to_10	Regularly		
5846_P2_RA6_01_160.mzXML	SAMPLE	More_than_30	Regularly		
5954_P1_RC11_01_74.mzXML	SAMPLE	More_than_30	Daily		
5989_P2_RG5_01_254.mzXML	SAMPLE	More_than_30	Regularly		
5990_P2_RB6_01_175.mzXML	SAMPLE	More_than_30	Occasionally	Regularly	Regularly
6620_P2_RH5_01_269.mzXML	SAMPLE	More_than_30	Regularly		
6659_P2_RE5_01_220.mzXML	SAMPLE	Less_than_5	Occasionally		
6726_P1_GB1_01_143.mzXML	SAMPLE	Less_than_5	Regularly		
6894_P4_RB5_01_432.mzXML	SAMPLE	More_than_30	Rarely		
6930_P4_RD6_01_463.mzXML	SAMPLE	21_to_30	Daily		
6944_P4_RD4_01_461.mzXML	SAMPLE	11_to_20	Occasionally		
6970_P4_RA3_01_414.mzXML	SAMPLE	11_to_20	Rarely		
6976_P4_RG6_01_509.mzXML	SAMPLE	11_to_20	Daily		
7663_P4_RG4_01_507.mzXML	SAMPLE	11_to_20	Regularly		
7666_P2_RH8_01_273.mzXML	SAMPLE	More_than_30	Regularly		
8963_P1_RF4_01_106.mzXML	SAMPLE	11_to_20	Regularly		
8964_P4_RC1_01_443.mzXML	SAMPLE	21_to_30	Regularly	Daily	Daily
9020_P4_RC10_01_453.mzXML	SAMPLE	More_than_30	Regularly		
9061_P4_RA7_01_420.mzXML	SAMPLE	21_to_30	Daily		
9085_P1_RE9_01_98.mzXML	SAMPLE	11_to_20	Occasionally		
9102_P4_RH6_01_524.mzXML	SAMPLE	More_than_30	Regularly		
9118_P1_RA11_01_48.mzXML	SAMPLE	6_to_10	Regularly		
9138_P3_RB3_01_307.mzXML	SAMPLE	11_to_20	Occasionally	Daily	Daily
9142_P4_RC6_01_448.mzXML	SAMPLE	More_than_30	Occasionally		
9149_P4_RC2_01_444.mzXML	SAMPLE	Less_than_5	Occasionally		
9157_P4_RB7_01_435.mzXML	SAMPLE	11_to_20	Daily		
9158_P4_RF6_01_494.mzXML	SAMPLE	11_to_20	Daily		
9402_P4_RF5_01_493.mzXML	SAMPLE	6_to_10	Regularly		
9444_P4_RF8_01_497.mzXML	SAMPLE	11_to_20	Occasionally		
9457_P4_RD5_01_462.mzXML	SAMPLE	Less_than_5	Rarely		
9496_P4_RC4_01_446.mzXML	SAMPLE	6_to_10	Occasionally		
9530_P4_RG8_01_512.mzXML	SAMPLE	6_to_10	Occasionally		
9562_P4_RD9_01_467.mzXML	SAMPLE	11_to_20	Daily		
9655_P4_RC7_01_450.mzXML	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Occasionally
9677_P2_RB7_01_177.mzXML	SAMPLE	Less_than_5	Occasionally		
Blank_GA2_01_154.mzXML	BLANK				
Blank_GA2_01_161.mzXML	BLANK				
Blank_GA2_01_168.mzXML	BLANK				
Blank_GA2_01_176.mzXML	BLANK				
Blank_GA2_01_183.mzXML	BLANK				
Blank_GA2_01_191.mzXML	BLANK				
Blank_GA2_01_198.mzXML	BLANK				
Blank_GA2_01_206.mzXML	BLANK				
Blank_GA2_01_214.mzXML	BLANK				
Blank_GA2_01_222.mzXML	BLANK				
Blank_GA2_01_229.mzXML	BLANK				
Blank_GA2_01_231.mzXML	BLANK				
Blank_GA2_01_239.mzXML	BLANK				
Blank_GA2_01_243.mzXML	BLANK				
Blank_GA2_01_248.mzXML	BLANK				
Blank_GA2_01_256.mzXML	BLANK				
Blank_GA2_01_263.mzXML	BLANK				
Blank_GA2_01_271.mzXML	BLANK				
Blank_GA2_01_278.mzXML	BLANK				
Blank_GB4_01_102.mzXML	BLANK				
Blank_GB4_01_115.mzXML	BLANK				
Blank_GB4_01_128.mzXML	BLANK				
Blank_GB4_01_141.mzXML	BLANK				
Blank_GB4_01_150.mzXML	BLANK				
Blank_GB4_01_50.mzXML	BLANK				
Blank_GB4_01_63.mzXML	BLANK				
Blank_GB4_01_76.mzXML	BLANK				
Blank_GB4_01_89.mzXML	BLANK				
Blank_GC1_01_280.mzXML	BLANK				
Blank_GC1_01_282.mzXML	BLANK				
Blank_GC1_01_289.mzXML	BLANK				
Blank_GC1_01_311.mzXML	BLANK				
Blank_GC1_01_326.mzXML	BLANK				
Blank_GC1_01_341.mzXML	BLANK				
Blank_GC1_01_356.mzXML	BLANK				
Blank_GC1_01_364.mzXML	BLANK				
Blank_GC1_01_371.mzXML	BLANK				
Blank_GC1_01_386.mzXML	BLANK				
Blank_GC2_01_301.mzXML	BLANK				
Blank_GC2_01_302.mzXML	BLANK				
Blank_GC2_01_304.mzXML	BLANK				
Blank_GC2_01_379.mzXML	BLANK				
Blank_GC3_01_319.mzXML	BLANK				
Blank_GC3_01_394.mzXML	BLANK				
Blank_GC4_01_334.mzXML	BLANK				
Blank_GC4_01_404.mzXML	BLANK				
Blank_GC5_01_349.mzXML	BLANK				
blank_GD1_01_532.mzXML	BLANK				
blank_GD1_01_541.mzXML	BLANK				
blank_GD1_01_550.mzXML	BLANK				
blank_GD1_01_558.mzXML	BLANK				
blank_GD1_01_567.mzXML	BLANK				
blank_GD1_01_575.mzXML	BLANK				
blank_GD1_01_583.mzXML	BLANK				
blank_GD1_01_591.mzXML	BLANK				
blank_GD1_01_600.mzXML	BLANK				
blank_GD1_01_608.mzXML	BLANK				
blank_GD1_01_616.mzXML	BLANK				
blank_GD1_01_624.mzXML	BLANK				
blank_GD1_01_632.mzXML	BLANK				
blank_GD1_01_640.mzXML	BLANK				
blank_GD1_01_648.mzXML	BLANK				
blank_GD1_01_658.mzXML	BLANK				
blank_GD1_01_665.mzXML	BLANK				
Blank_GE1_01_405.mzXML	BLANK				
Blank_GE1_01_406.mzXML	BLANK				
Blank_GE1_01_418.mzXML	BLANK				
Blank_GE1_01_419.mzXML	BLANK				
Blank_GE1_01_434.mzXML	BLANK				
Blank_GE1_01_449.mzXML	BLANK				
Blank_GE1_01_464.mzXML	BLANK				
Blank_GE1_01_479.mzXML	BLANK				
Blank_GE1_01_486.mzXML	BLANK				
Blank_GE1_01_488.mzXML	BLANK				
Blank_GE1_01_495.mzXML	BLANK				
Blank_GE1_01_510.mzXML	BLANK				
Blank_GE2_01_426.mzXML	BLANK				
Blank_GE2_01_502.mzXML	BLANK				
Blank_GE3_01_441.mzXML	BLANK				
Blank_GE3_01_517.mzXML	BLANK				
Blank_GE4_01_456.mzXML	BLANK				
Blank_GE4_01_527.mzXML	BLANK				
Blank_GE5_01_471.mzXML	BLANK				
Blank_GG1_01_668.mzXML	BLANK				
Blank_GG2_01_684.mzXML	BLANK				
Blank_GG3_01_702.mzXML	BLANK				
Solvent blank_P3_RH10_01_284.mzXML	SOLVENT_BLANK				
Solvent blank_P3_RH9_01_283.mzXML	SOLVENT_BLANK				
Solvent blank_P4_RH10_01_409.mzXML	SOLVENT_BLANK				
Solvent blank_P4_RH10_01_670.mzXML	SOLVENT_BLANK				
Solvent blank_P4_RH9_01_408.mzXML	SOLVENT_BLANK				
Solvent blank_P4_RH9_01_669.mzXML	SOLVENT_BLANK				
Solvent blank_RA1_01_38.mzXML	SOLVENT_BLANK				
Solvent blank_RA2_01_39.mzXML	SOLVENT_BLANK				
Swab blank_P3_RH11_01_285.mzXML	SWAB_BLANK				
Swab blank_P3_RH12_01_286.mzXML	SWAB_BLANK				
Swab blank_P4_RH11_01_410.mzXML	SWAB_BLANK				
Swab blank_P4_RH11_01_671.mzXML	SWAB_BLANK				
Swab blank_P4_RH12_01_411.mzXML	SWAB_BLANK				
Swab blank_P4_RH12_01_672.mzXML	SWAB_BLANK				
Swab blank_P5_RH12_01_534.mzXML	SWAB_BLANK				
Swab blank_RA3_01_40.mzXML	SWAB_BLANK				
Swab blank_RA4_01_41.mzXML	SWAB_BLANK				
